ride_id,ride_date,ride_time,pickup_location,drop_location,ride_type,fare,distance_km,duration_mins
RIDE1000,2025-07-15,17:45:00,Suburb,Mall,UberPOOL,190.13,1.37,30
RIDE1001,2025-07-07,05:45:00,Tech Park,Airport,UberXL,462.47,8.98,31
RIDE1002,2025-07-10,04:00:00,Airport,Central Park,UberXL,106.39,10.26,56
RIDE1003,2025-07-31,14:15:00,Airport,Suburb,UberPOOL,525.4,14.87,10
RIDE1004,2025-07-03,01:00:00,Stadium,Downtown,UberPOOL,546.95,17.29,14
RIDE1005,2025-07-01,14:30:00,Suburb,Mall,UberX,416.17,1.39,11
RIDE1006,2025-07-17,07:30:00,Suburb,Airport,UberPOOL,258.18,4.0,46
RIDE1007,2025-07-03,14:30:00,Uptown,Mall,UberX,509.14,7.55,22
RIDE1008,2025-07-23,08:30:00,Stadium,Central Park,UberXL,155.83,2.6,44
RIDE1009,2025-07-01,02:00:00,Uptown,Airport,UberXL,399.77,2.06,31
RIDE1010,2025-07-13,02:00:00,Airport,Tech Park,UberX,300.84,17.11,44
RIDE1011,2025-07-30,01:45:00,Uptown,Central Park,UberXL,401.03,11.5,57
RIDE1012,2025-07-14,02:15:00,Mall,Tech Park,UberX,593.34,7.42,18
RIDE1013,2025-07-10,10:00:00,Uptown,Suburb,UberX,498.22,2.21,25
RIDE1014,2025-07-05,07:00:00,Airport,Downtown,UberXL,135.01,7.07,8
RIDE1015,2025-07-26,15:15:00,Stadium,Mall,UberPOOL,245.13,16.01,54
RIDE1016,2025-07-07,23:15:00,Uptown,Central Park,UberXL,496.31,11.67,38
RIDE1017,2025-07-04,12:45:00,Stadium,Airport,UberXL,280.74,4.21,28
RIDE1018,2025-07-28,18:30:00,Airport,Tech Park,UberX,466.41,2.19,6
RIDE1019,2025-07-13,19:00:00,Airport,Tech Park,UberX,485.27,6.7,43
RIDE1020,2025-07-15,08:00:00,Central Park,Suburb,UberXL,467.33,18.73,27
